20482060     father: 20480561      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 82], ['right', 18]], 21: [['down', 100]], 23: [['down', 76], ['left', 24]], 24: [['left', 100]], 31: [['right', 15], ['down', 85]], 32: [['up', 11], ['right', 14], ['down', 75]], 34: [['up', 0], ['down', 100]], 41: [['up', 7], ['left', 51], ['down', 42]], 42: [['left', 7], ['down', 93]], 43: [['up', 6], ['down', 94]]}
20482061     father: 20480561      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 82], ['right', 18]], 21: [['down', 100]], 23: [['down', 76], ['left', 24]], 24: [['left', 100]], 31: [['right', 15], ['down', 85]], 32: [['up', 11], ['right', 14], ['down', 75]], 34: [['up', 0], ['down', 100]], 41: [['up', 7], ['left', 51], ['down', 42]], 42: [['left', 7], ['down', 93]], 43: [['up', 6], ['down', 94]]}
20482062     father: 20480573XXX   {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 90], ['right', 10]], 21: [['down', 100]], 23: [['down', 82], ['left', 18]], 24: [['left', 100]], 31: [['right', 61], ['down', 39]], 32: [['up', 12], ['right', 22], ['down', 66]], 34: [['up', 11], ['down', 89]], 41: [['up', 3], ['left', 58], ['down', 39]], 42: [['left', 41], ['down', 59]], 43: [['up', 4], ['down', 96]]}
20482063     father: 20480573      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 90], ['right', 10]], 21: [['down', 100]], 23: [['down', 82], ['left', 18]], 24: [['left', 100]], 31: [['right', 61], ['down', 39]], 32: [['up', 12], ['right', 22], ['down', 66]], 34: [['up', 11], ['down', 89]], 41: [['up', 3], ['left', 58], ['down', 39]], 42: [['left', 54], ['down', 46]], 43: [['up', 4], ['down', 96]]}
20482064     father: 20481932      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 96], ['right', 4]], 21: [['down', 100]], 23: [['down', 93], ['left', 7]], 24: [['left', 100]], 31: [['right', 24], ['down', 76]], 32: [['up', 0], ['right', 5], ['down', 95]], 34: [['up', 0], ['down', 100]], 41: [['up', 3], ['left', 79], ['down', 18]], 42: [['left', 61], ['down', 39]], 43: [['up', 0], ['down', 100]]}
20482065     father: 20481932      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 96], ['right', 4]], 21: [['down', 100]], 23: [['down', 93], ['left', 7]], 24: [['left', 100]], 31: [['right', 24], ['down', 76]], 32: [['up', 0], ['right', 5], ['down', 95]], 34: [['up', 0], ['down', 100]], 41: [['up', 3], ['left', 79], ['down', 18]], 42: [['left', 61], ['down', 39]], 43: [['up', 0], ['down', 100]]}
20482066     father: 20480760XXX   {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 99], ['right', 1]], 21: [['down', 100]], 23: [['down', 97], ['left', 3]], 24: [['left', 100]], 31: [['right', 21], ['down', 79]], 32: [['up', 4], ['right', 3], ['down', 93]], 34: [['up', 0], ['down', 100]], 41: [['up', 9], ['left', 57], ['down', 34]], 42: [['left', 22], ['down', 78]], 43: [['up', 0], ['down', 100]]}
20482067     father: 20480760      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 99], ['right', 1]], 21: [['down', 100]], 23: [['down', 97], ['left', 3]], 24: [['left', 100]], 31: [['right', 21], ['down', 79]], 32: [['up', 23], ['right', 3], ['down', 74]], 34: [['up', 0], ['down', 100]], 41: [['up', 9], ['left', 57], ['down', 34]], 42: [['left', 22], ['down', 78]], 43: [['up', 0], ['down', 100]]}
20482068     father: 20481831XXX   {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 77], ['right', 23]], 21: [['down', 100]], 23: [['down', 99], ['left', 1]], 24: [['left', 100]], 31: [['right', 30], ['down', 70]], 32: [['up', 0], ['right', 37], ['down', 63]], 34: [['up', 11], ['down', 89]], 41: [['up', 16], ['left', 71], ['down', 13]], 42: [['left', 61], ['down', 39]], 43: [['up', 0], ['down', 100]]}
20482069     father: 20481831      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 77], ['right', 23]], 21: [['down', 100]], 23: [['down', 99], ['left', 1]], 24: [['left', 100]], 31: [['right', 30], ['down', 70]], 32: [['up', 0], ['right', 37], ['down', 63]], 34: [['up', 0], ['down', 100]], 41: [['up', 16], ['left', 71], ['down', 13]], 42: [['left', 61], ['down', 39]], 43: [['up', 0], ['down', 100]]}
20482070     father: 20481661      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 85], ['right', 15]], 21: [['down', 100]], 23: [['down', 85], ['left', 15]], 24: [['left', 100]], 31: [['right', 79], ['down', 21]], 32: [['up', 11], ['right', 22], ['down', 67]], 34: [['up', 0], ['down', 100]], 41: [['up', 15], ['left', 52], ['down', 33]], 42: [['left', 65], ['down', 35]], 43: [['up', 8], ['down', 92]]}
20482071     father: 20481661      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 85], ['right', 15]], 21: [['down', 100]], 23: [['down', 85], ['left', 15]], 24: [['left', 100]], 31: [['right', 79], ['down', 21]], 32: [['up', 11], ['right', 22], ['down', 67]], 34: [['up', 0], ['down', 100]], 41: [['up', 15], ['left', 52], ['down', 33]], 42: [['left', 65], ['down', 35]], 43: [['up', 8], ['down', 92]]}
20482072     father: 20481089XXX   {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 98], ['right', 2]], 21: [['down', 100]], 23: [['down', 80], ['left', 20]], 24: [['left', 100]], 31: [['right', 19], ['down', 81]], 32: [['up', 2], ['right', 6], ['down', 92]], 34: [['up', 0], ['down', 100]], 41: [['up', 7], ['left', 77], ['down', 16]], 42: [['left', 27], ['down', 73]], 43: [['up', 13], ['down', 87]]}
20482073     father: 20481089      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 98], ['right', 2]], 21: [['down', 100]], 23: [['down', 80], ['left', 20]], 24: [['left', 100]], 31: [['right', 19], ['down', 81]], 32: [['up', 2], ['right', 6], ['down', 92]], 34: [['up', 0], ['down', 100]], 41: [['up', 7], ['left', 77], ['down', 16]], 42: [['left', 27], ['down', 73]], 43: [['up', 0], ['down', 100]]}
20482074     father: 20481425      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 96], ['right', 4]], 21: [['down', 100]], 23: [['down', 99], ['left', 1]], 24: [['left', 100]], 31: [['right', 15], ['down', 85]], 32: [['up', 22], ['right', 3], ['down', 75]], 34: [['up', 0], ['down', 100]], 41: [['up', 29], ['left', 40], ['down', 31]], 42: [['left', 19], ['down', 81]], 43: [['up', 0], ['down', 100]]}
