25600524     father: 25600466      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 34], ['right', 66]], 21: [['down', 100]], 23: [['down', 52], ['left', 48]], 24: [['left', 100]], 31: [['right', 4], ['down', 96]], 32: [['up', 1], ['right', 53], ['down', 46]], 34: [['up', 0], ['down', 100]], 41: [['up', 30], ['left', 17], ['down', 53]], 42: [['left', 1], ['down', 99]], 43: [['up', 0], ['down', 100]]}
25600525     father: 25600466      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 34], ['right', 66]], 21: [['down', 100]], 23: [['down', 52], ['left', 48]], 24: [['left', 100]], 31: [['right', 4], ['down', 96]], 32: [['up', 1], ['right', 53], ['down', 46]], 34: [['up', 0], ['down', 100]], 41: [['up', 30], ['left', 17], ['down', 53]], 42: [['left', 1], ['down', 99]], 43: [['up', 0], ['down', 100]]}
25600526     father: 25600301      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 78], ['right', 22]], 21: [['down', 100]], 23: [['down', 58], ['left', 42]], 24: [['left', 100]], 31: [['right', 80], ['down', 20]], 32: [['up', 1], ['right', 54], ['down', 45]], 34: [['up', 0], ['down', 100]], 41: [['up', 86], ['left', 2], ['down', 12]], 42: [['left', 70], ['down', 30]], 43: [['up', 0], ['down', 100]]}
25600527     father: 25600301      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 78], ['right', 22]], 21: [['down', 100]], 23: [['down', 58], ['left', 42]], 24: [['left', 100]], 31: [['right', 80], ['down', 20]], 32: [['up', 1], ['right', 54], ['down', 45]], 34: [['up', 0], ['down', 100]], 41: [['up', 86], ['left', 2], ['down', 12]], 42: [['left', 70], ['down', 30]], 43: [['up', 0], ['down', 100]]}
25600528     father: 25600312XXX   {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 13], ['right', 87]], 21: [['down', 100]], 23: [['down', 67], ['left', 33]], 24: [['left', 100]], 31: [['right', 33], ['down', 67]], 32: [['up', 1], ['right', 76], ['down', 23]], 34: [['up', 0], ['down', 100]], 41: [['up', 11], ['left', 60], ['down', 29]], 42: [['left', 16], ['down', 84]], 43: [['up', 90], ['down', 10]]}
25600529     father: 25600312      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 13], ['right', 87]], 21: [['down', 100]], 23: [['down', 67], ['left', 33]], 24: [['left', 100]], 31: [['right', 36], ['down', 64]], 32: [['up', 1], ['right', 76], ['down', 23]], 34: [['up', 0], ['down', 100]], 41: [['up', 11], ['left', 60], ['down', 29]], 42: [['left', 16], ['down', 84]], 43: [['up', 90], ['down', 10]]}
25600530     father: 25600482      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 78], ['right', 22]], 21: [['down', 100]], 23: [['down', 58], ['left', 42]], 24: [['left', 100]], 31: [['right', 67], ['down', 33]], 32: [['up', 79], ['right', 9], ['down', 12]], 34: [['up', 0], ['down', 100]], 41: [['up', 60], ['left', 2], ['down', 38]], 42: [['left', 21], ['down', 79]], 43: [['up', 5], ['down', 95]]}
25600531     father: 25600482      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 78], ['right', 22]], 21: [['down', 100]], 23: [['down', 58], ['left', 42]], 24: [['left', 100]], 31: [['right', 67], ['down', 33]], 32: [['up', 79], ['right', 9], ['down', 12]], 34: [['up', 0], ['down', 100]], 41: [['up', 60], ['left', 2], ['down', 38]], 42: [['left', 21], ['down', 79]], 43: [['up', 5], ['down', 95]]}
25600532     father: 25600201      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 25], ['right', 75]], 21: [['down', 100]], 23: [['down', 45], ['left', 55]], 24: [['left', 100]], 31: [['right', 54], ['down', 46]], 32: [['up', 1], ['right', 53], ['down', 46]], 34: [['up', 0], ['down', 100]], 41: [['up', 30], ['left', 17], ['down', 53]], 42: [['left', 17], ['down', 83]], 43: [['up', 0], ['down', 100]]}
25600533     father: 25600201      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 25], ['right', 75]], 21: [['down', 100]], 23: [['down', 45], ['left', 55]], 24: [['left', 100]], 31: [['right', 54], ['down', 46]], 32: [['up', 1], ['right', 53], ['down', 46]], 34: [['up', 0], ['down', 100]], 41: [['up', 30], ['left', 17], ['down', 53]], 42: [['left', 17], ['down', 83]], 43: [['up', 0], ['down', 100]]}
25600534     father: 25600392      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 34], ['right', 66]], 21: [['down', 100]], 23: [['down', 22], ['left', 78]], 24: [['left', 100]], 31: [['right', 89], ['down', 11]], 32: [['up', 1], ['right', 53], ['down', 46]], 34: [['up', 13], ['down', 87]], 41: [['up', 30], ['left', 17], ['down', 53]], 42: [['left', 17], ['down', 83]], 43: [['up', 0], ['down', 100]]}
25600535     father: 25600392      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 34], ['right', 66]], 21: [['down', 100]], 23: [['down', 22], ['left', 78]], 24: [['left', 100]], 31: [['right', 89], ['down', 11]], 32: [['up', 1], ['right', 53], ['down', 46]], 34: [['up', 13], ['down', 87]], 41: [['up', 30], ['left', 17], ['down', 53]], 42: [['left', 17], ['down', 83]], 43: [['up', 0], ['down', 100]]}
25600536     father: 25600090      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 78], ['right', 22]], 21: [['down', 100]], 23: [['down', 30], ['left', 70]], 24: [['left', 100]], 31: [['right', 32], ['down', 68]], 32: [['up', 1], ['right', 2], ['down', 97]], 34: [['up', 0], ['down', 100]], 41: [['up', 18], ['left', 40], ['down', 42]], 42: [['left', 92], ['down', 8]], 43: [['up', 0], ['down', 100]]}
25600537     father: 25600090      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 78], ['right', 22]], 21: [['down', 100]], 23: [['down', 30], ['left', 70]], 24: [['left', 100]], 31: [['right', 32], ['down', 68]], 32: [['up', 1], ['right', 2], ['down', 97]], 34: [['up', 0], ['down', 100]], 41: [['up', 18], ['left', 40], ['down', 42]], 42: [['left', 92], ['down', 8]], 43: [['up', 0], ['down', 100]]}
25600538     father: 25600196XXX   {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 97], ['right', 3]], 21: [['down', 100]], 23: [['down', 93], ['left', 7]], 24: [['left', 100]], 31: [['right', 6], ['down', 94]], 32: [['up', 1], ['right', 2], ['down', 97]], 34: [['up', 0], ['down', 100]], 41: [['up', 18], ['left', 72], ['down', 10]], 42: [['left', 34], ['down', 66]], 43: [['up', 0], ['down', 100]]}
25600539     father: 25600196      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 97], ['right', 3]], 21: [['down', 100]], 23: [['down', 93], ['left', 7]], 24: [['left', 100]], 31: [['right', 6], ['down', 94]], 32: [['up', 1], ['right', 2], ['down', 97]], 34: [['up', 0], ['down', 100]], 41: [['up', 18], ['left', 72], ['down', 10]], 42: [['left', 34], ['down', 66]], 43: [['up', 0], ['down', 100]]}
25600540     father: 25600245XXX   {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 78], ['right', 22]], 21: [['down', 100]], 23: [['down', 93], ['left', 7]], 24: [['left', 100]], 31: [['right', 6], ['down', 94]], 32: [['up', 1], ['right', 2], ['down', 97]], 34: [['up', 0], ['down', 100]], 41: [['up', 18], ['left', 17], ['down', 65]], 42: [['left', 34], ['down', 66]], 43: [['up', 0], ['down', 100]]}
25600541     father: 25600245      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 78], ['right', 22]], 21: [['down', 100]], 23: [['down', 93], ['left', 7]], 24: [['left', 100]], 31: [['right', 6], ['down', 94]], 32: [['up', 1], ['right', 2], ['down', 97]], 34: [['up', 0], ['down', 100]], 41: [['up', 18], ['left', 17], ['down', 65]], 42: [['left', 34], ['down', 66]], 43: [['up', 0], ['down', 100]]}
25600542     father: 25600264      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 25], ['right', 75]], 21: [['down', 100]], 23: [['down', 45], ['left', 55]], 24: [['left', 100]], 31: [['right', 54], ['down', 46]], 32: [['up', 1], ['right', 12], ['down', 87]], 34: [['up', 90], ['down', 10]], 41: [['up', 30], ['left', 17], ['down', 53]], 42: [['left', 17], ['down', 83]], 43: [['up', 0], ['down', 100]]}
25600543     father: 25600264      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 25], ['right', 75]], 21: [['down', 100]], 23: [['down', 45], ['left', 55]], 24: [['left', 100]], 31: [['right', 54], ['down', 46]], 32: [['up', 1], ['right', 12], ['down', 87]], 34: [['up', 90], ['down', 10]], 41: [['up', 30], ['left', 17], ['down', 53]], 42: [['left', 17], ['down', 83]], 43: [['up', 0], ['down', 100]]}
25600544     father: 25600258      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 25], ['right', 75]], 21: [['down', 100]], 23: [['down', 45], ['left', 55]], 24: [['left', 100]], 31: [['right', 54], ['down', 46]], 32: [['up', 1], ['right', 53], ['down', 46]], 34: [['up', 69], ['down', 31]], 41: [['up', 30], ['left', 17], ['down', 53]], 42: [['left', 17], ['down', 83]], 43: [['up', 0], ['down', 100]]}
25600545     father: 25600258      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 25], ['right', 75]], 21: [['down', 100]], 23: [['down', 45], ['left', 55]], 24: [['left', 100]], 31: [['right', 54], ['down', 46]], 32: [['up', 1], ['right', 53], ['down', 46]], 34: [['up', 69], ['down', 31]], 41: [['up', 30], ['left', 17], ['down', 53]], 42: [['left', 17], ['down', 83]], 43: [['up', 0], ['down', 100]]}
25600546     father: 25600415      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 25], ['right', 75]], 21: [['down', 100]], 23: [['down', 45], ['left', 55]], 24: [['left', 100]], 31: [['right', 54], ['down', 46]], 32: [['up', 1], ['right', 53], ['down', 46]], 34: [['up', 0], ['down', 100]], 41: [['up', 30], ['left', 17], ['down', 53]], 42: [['left', 24], ['down', 76]], 43: [['up', 0], ['down', 100]]}
25600547     father: 25600415      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 25], ['right', 75]], 21: [['down', 100]], 23: [['down', 45], ['left', 55]], 24: [['left', 100]], 31: [['right', 54], ['down', 46]], 32: [['up', 1], ['right', 53], ['down', 46]], 34: [['up', 0], ['down', 100]], 41: [['up', 30], ['left', 17], ['down', 53]], 42: [['left', 24], ['down', 76]], 43: [['up', 0], ['down', 100]]}
25600548     father: 25600279      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 78], ['right', 22]], 21: [['down', 100]], 23: [['down', 58], ['left', 42]], 24: [['left', 100]], 31: [['right', 80], ['down', 20]], 32: [['up', 1], ['right', 54], ['down', 45]], 34: [['up', 0], ['down', 100]], 41: [['up', 86], ['left', 2], ['down', 12]], 42: [['left', 70], ['down', 30]], 43: [['up', 0], ['down', 100]]}
25600549     father: 25600279      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 78], ['right', 22]], 21: [['down', 100]], 23: [['down', 58], ['left', 42]], 24: [['left', 100]], 31: [['right', 80], ['down', 20]], 32: [['up', 1], ['right', 54], ['down', 45]], 34: [['up', 0], ['down', 100]], 41: [['up', 86], ['left', 2], ['down', 12]], 42: [['left', 70], ['down', 30]], 43: [['up', 0], ['down', 100]]}
25600550     father: 25600247      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 78], ['right', 22]], 21: [['down', 100]], 23: [['down', 61], ['left', 39]], 24: [['left', 100]], 31: [['right', 41], ['down', 59]], 32: [['up', 1], ['right', 2], ['down', 97]], 34: [['up', 26], ['down', 74]], 41: [['up', 18], ['left', 17], ['down', 65]], 42: [['left', 30], ['down', 70]], 43: [['up', 0], ['down', 100]]}
25600551     father: 25600247      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 78], ['right', 22]], 21: [['down', 100]], 23: [['down', 61], ['left', 39]], 24: [['left', 100]], 31: [['right', 41], ['down', 59]], 32: [['up', 1], ['right', 2], ['down', 97]], 34: [['up', 26], ['down', 74]], 41: [['up', 18], ['left', 17], ['down', 65]], 42: [['left', 30], ['down', 70]], 43: [['up', 0], ['down', 100]]}
25600552     father: 25600133      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 44], ['right', 56]], 21: [['down', 100]], 23: [['down', 93], ['left', 7]], 24: [['left', 100]], 31: [['right', 6], ['down', 94]], 32: [['up', 1], ['right', 2], ['down', 97]], 34: [['up', 0], ['down', 100]], 41: [['up', 18], ['left', 17], ['down', 65]], 42: [['left', 34], ['down', 66]], 43: [['up', 0], ['down', 100]]}
25600553     father: 25600133      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 44], ['right', 56]], 21: [['down', 100]], 23: [['down', 93], ['left', 7]], 24: [['left', 100]], 31: [['right', 6], ['down', 94]], 32: [['up', 1], ['right', 2], ['down', 97]], 34: [['up', 0], ['down', 100]], 41: [['up', 18], ['left', 17], ['down', 65]], 42: [['left', 34], ['down', 66]], 43: [['up', 0], ['down', 100]]}
25600554     father: 25600190      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 68], ['right', 32]], 21: [['down', 100]], 23: [['down', 92], ['left', 8]], 24: [['left', 100]], 31: [['right', 18], ['down', 82]], 32: [['up', 54], ['right', 0], ['down', 46]], 34: [['up', 0], ['down', 100]], 41: [['up', 31], ['left', 17], ['down', 52]], 42: [['left', 93], ['down', 7]], 43: [['up', 14], ['down', 86]]}
25600555     father: 25600190      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 68], ['right', 32]], 21: [['down', 100]], 23: [['down', 92], ['left', 8]], 24: [['left', 100]], 31: [['right', 18], ['down', 82]], 32: [['up', 54], ['right', 0], ['down', 46]], 34: [['up', 0], ['down', 100]], 41: [['up', 31], ['left', 17], ['down', 52]], 42: [['left', 93], ['down', 7]], 43: [['up', 14], ['down', 86]]}
25600556     father: 25600015      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 78], ['right', 22]], 21: [['down', 100]], 23: [['down', 93], ['left', 7]], 24: [['left', 100]], 31: [['right', 6], ['down', 94]], 32: [['up', 1], ['right', 2], ['down', 97]], 34: [['up', 11], ['down', 89]], 41: [['up', 18], ['left', 72], ['down', 10]], 42: [['left', 34], ['down', 66]], 43: [['up', 0], ['down', 100]]}
25600557     father: 25600015      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 78], ['right', 22]], 21: [['down', 100]], 23: [['down', 93], ['left', 7]], 24: [['left', 100]], 31: [['right', 6], ['down', 94]], 32: [['up', 1], ['right', 2], ['down', 97]], 34: [['up', 11], ['down', 89]], 41: [['up', 18], ['left', 72], ['down', 10]], 42: [['left', 34], ['down', 66]], 43: [['up', 0], ['down', 100]]}
25600558     father: 25600010      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 78], ['right', 22]], 21: [['down', 100]], 23: [['down', 61], ['left', 39]], 24: [['left', 100]], 31: [['right', 41], ['down', 59]], 32: [['up', 1], ['right', 2], ['down', 97]], 34: [['up', 26], ['down', 74]], 41: [['up', 18], ['left', 17], ['down', 65]], 42: [['left', 30], ['down', 70]], 43: [['up', 0], ['down', 100]]}
25600559     father: 25600010      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 78], ['right', 22]], 21: [['down', 100]], 23: [['down', 61], ['left', 39]], 24: [['left', 100]], 31: [['right', 41], ['down', 59]], 32: [['up', 1], ['right', 2], ['down', 97]], 34: [['up', 26], ['down', 74]], 41: [['up', 18], ['left', 17], ['down', 65]], 42: [['left', 30], ['down', 70]], 43: [['up', 0], ['down', 100]]}
25600560     father: 25600421      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 78], ['right', 22]], 21: [['down', 100]], 23: [['down', 45], ['left', 55]], 24: [['left', 100]], 31: [['right', 22], ['down', 78]], 32: [['up', 1], ['right', 53], ['down', 46]], 34: [['up', 0], ['down', 100]], 41: [['up', 30], ['left', 17], ['down', 53]], 42: [['left', 17], ['down', 83]], 43: [['up', 0], ['down', 100]]}
25600561     father: 25600421      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 78], ['right', 22]], 21: [['down', 100]], 23: [['down', 45], ['left', 55]], 24: [['left', 100]], 31: [['right', 22], ['down', 78]], 32: [['up', 1], ['right', 53], ['down', 46]], 34: [['up', 0], ['down', 100]], 41: [['up', 30], ['left', 17], ['down', 53]], 42: [['left', 17], ['down', 83]], 43: [['up', 0], ['down', 100]]}
25600562     father: 25600173XXX   {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 94], ['right', 6]], 21: [['down', 100]], 23: [['down', 67], ['left', 33]], 24: [['left', 100]], 31: [['right', 36], ['down', 64]], 32: [['up', 1], ['right', 76], ['down', 23]], 34: [['up', 0], ['down', 100]], 41: [['up', 11], ['left', 77], ['down', 12]], 42: [['left', 80], ['down', 20]], 43: [['up', 0], ['down', 100]]}
